pattern,pred_ppf,sigma_ppf,h_gauss,h_hist,h_traj,h_primary,cycle,priority,entropy_mode
"[1, 1, 9, 4, 2, 8, 1, 4, 1, 3, 8, 1, 7, 7, 9, 1, 2, 7, 8, 5, 8, 1, 1, 1, 5, 4, 1, 6, 2, 1, 1]",1.8703460693359375,0.06948737055063248,-1.2476719617843628,2.1631484031677246,0.0,2.1631484031677246,333.7379150390625,385.98431800659944,combined
"[3, 1, 6, 4, 4, 6, 1, 6, 1, 7, 4, 1, 7, 6, 9, 1, 7, 1, 2, 6, 5, 1, 1, 1, 5, 1, 1, 4, 2, 1, 1]",1.8205153942108154,0.06869027018547058,-1.259209394454956,2.187512159347534,0.0,2.187512159347534,321.0117492675781,385.72413137793063,combined
"[3, 1, 3, 1, 4, 3, 1, 5, 1, 9, 7, 1, 8, 2, 3, 1, 8, 8, 8, 2, 5, 1, 1, 1, 2, 5, 1, 2, 7, 1, 1]",1.8652821779251099,0.09369104355573654,-0.9488143920898438,2.1715707778930664,0.0,2.1715707778930664,331.25701904296875,385.65086043710596,combined
"[3, 1, 1, 9, 4, 3, 1, 3, 1, 9, 5, 1, 2, 7, 1, 1, 7, 9, 2, 9, 4, 1, 1, 1, 2, 1, 1, 7, 2, 1, 1]",1.9098671674728394,0.05332426354289055,-1.512425422668457,2.202646493911743,0.0,2.202646493911743,334.18408203125,385.4137207707114,combined
"[3, 1, 8, 4, 9, 3, 1, 3, 1, 8, 9, 1, 8, 6, 1, 1, 4, 3, 9, 2, 5, 1, 1, 1, 6, 4, 1, 3, 2, 1, 1]",1.9190577268600464,0.0779673308134079,-1.1325266361236572,2.1955647468566895,0.0,2.1955647468566895,336.81396484375,385.34353175836713,combined
"[4, 1, 9, 7, 1, 9, 1, 8, 1, 9, 2, 1, 7, 7, 8, 1, 4, 3, 8, 8, 4, 1, 1, 1, 5, 9, 1, 6, 6, 1, 1]",1.8546876907348633,0.06506229937076569,-1.3134713172912598,2.204953908920288,0.0,2.204953908920288,323.9203796386719,385.09401110341696,combined
"[9, 1, 8, 7, 3, 8, 1, 2, 1, 4, 3, 1, 8, 9, 8, 1, 8, 9, 4, 2, 2, 1, 1, 1, 7, 2, 1, 8, 1, 1, 1]",1.8714089393615723,0.057495005428791046,-1.437118649482727,2.216280460357666,0.0,2.216280460357666,324.6413879394531,384.4675341197865,combined
"[9, 1, 7, 4, 9, 8, 1, 4, 1, 4, 2, 1, 6, 3, 4, 1, 8, 1, 8, 5, 5, 1, 1, 1, 6, 9, 1, 7, 2, 1, 1]",1.8204752206802368,0.05843256041407585,-1.4209438562393188,2.1842381954193115,0.0,2.1842381954193115,320.2218933105469,384.2076498626453,combined
"[4, 1, 8, 4, 4, 9, 1, 3, 1, 9, 5, 1, 9, 1, 4, 1, 4, 2, 3, 9, 2, 1, 1, 1, 2, 9, 1, 6, 2, 1, 1]",1.891991138458252,0.05293777212500572,-1.5196995735168457,2.2572786808013916,0.0,2.2572786808013916,321.763916015625,383.88681068468736,combined
"[4, 1, 6, 4, 2, 9, 1, 3, 1, 8, 1, 1, 4, 5, 5, 1, 3, 4, 8, 6, 3, 1, 1, 1, 1, 2, 1, 6, 2, 1, 1]",1.8442968130111694,0.06549208611249924,-1.3068876266479492,2.220088005065918,0.0,2.220088005065918,318.8732604980469,383.84619651646597,combined
"[1, 1, 4, 4, 2, 7, 1, 3, 1, 9, 3, 1, 4, 7, 2, 1, 3, 3, 2, 6, 2, 1, 1, 1, 1, 2, 1, 2, 8, 1, 1]",1.8545114994049072,0.06117667630314827,-1.3750509023666382,2.220088005065918,0.0,2.220088005065918,320.4343566894531,383.600796395574,combined
"[8, 1, 4, 7, 8, 6, 1, 1, 1, 8, 8, 1, 8, 2, 5, 1, 2, 4, 5, 6, 1, 1, 1, 1, 8, 4, 1, 5, 1, 1, 1]",1.890775442123413,0.06351938098669052,-1.337471842765808,2.187512159347534,0.0,2.187512159347534,331.5030822753906,383.5286960335793,combined
"[7, 1, 9, 9, 7, 7, 1, 6, 1, 4, 9, 1, 3, 6, 3, 1, 6, 3, 7, 6, 8, 1, 1, 1, 6, 1, 1, 7, 5, 1, 1]",1.890223503112793,0.07200328260660172,-1.2121049165725708,2.2003390789031982,0.0,2.2003390789031982,329.0461120605469,383.0301733660148,combined
"[4, 1, 4, 8, 4, 9, 1, 3, 1, 6, 8, 1, 6, 1, 8, 1, 8, 6, 4, 5, 6, 1, 1, 1, 9, 3, 1, 2, 5, 1, 1]",1.8997466564178467,0.06158023327589035,-1.3684757947921753,2.2130062580108643,0.0,2.2130062580108643,328.6317138671875,382.82139046837756,combined
"[8, 1, 4, 7, 3, 7, 1, 1, 1, 9, 8, 1, 6, 2, 7, 1, 2, 8, 4, 6, 5, 1, 1, 1, 5, 9, 1, 8, 1, 1, 1]",1.9226586818695068,0.08239161223173141,-1.0773333311080933,2.220088005065918,0.0,2.220088005065918,331.4384460449219,382.7107446110994,combined
"[3, 1, 3, 3, 6, 8, 1, 4, 1, 7, 1, 1, 7, 7, 9, 1, 7, 8, 3, 2, 1, 1, 1, 1, 6, 2, 1, 2, 5, 1, 1]",1.872654914855957,0.07293413579463959,-1.1992599964141846,2.202646493911743,0.0,2.202646493911743,325.3423156738281,382.672601653682,combined
"[4, 1, 8, 4, 2, 4, 1, 4, 1, 2, 7, 1, 4, 7, 2, 1, 4, 9, 8, 6, 3, 1, 1, 1, 6, 6, 1, 6, 1, 1, 1]",1.8888862133026123,0.06195265054702759,-1.3624464273452759,2.211665630340576,0.0,2.211665630340576,326.782470703125,382.62398832602565,combined
"[8, 1, 4, 7, 7, 1, 1, 6, 1, 8, 9, 1, 8, 3, 3, 1, 1, 4, 6, 6, 1, 1, 1, 1, 4, 8, 1, 8, 6, 1, 1]",1.8441098928451538,0.0843500941991806,-1.0538407564163208,2.211665630340576,0.0,2.211665630340576,319.0141296386719,382.5976999823011,combined
"[3, 1, 4, 4, 2, 3, 1, 6, 1, 7, 8, 1, 4, 3, 2, 1, 3, 8, 3, 6, 7, 1, 1, 1, 5, 1, 1, 8, 7, 1, 1]",1.8241939544677734,0.0631050243973732,-1.3440165519714355,2.13572096824646,0.0,2.13572096824646,326.43817138671875,382.185492706867,combined
