seed,gen,best_ppf,sigma,h_sens_pop,div,stag,n_al
42,193,1.7889388799667358,0.06055358797311783,1.5954532561256187,1.0,16,50
42,194,1.7889388799667358,0.06055358797311783,1.5929164181798174,1.0,17,50
42,195,1.7889388799667358,0.06055358797311783,1.5963246943068854,1.0,18,50
42,196,1.7889388799667358,0.06055358797311783,1.5909937954776998,1.0,19,50
42,197,1.7889388799667358,0.06055358797311783,1.6345582065632822,1.0,0,50
42,198,1.7889388799667358,0.06055358797311783,1.6267223273549405,1.0,1,50
42,199,1.7889388799667358,0.06055358797311783,1.6105937547804747,1.0,2,50
42,200,1.7889388799667358,0.06055358797311783,1.5871468507380477,1.0,3,50
42,201,1.7889388799667358,0.06055358797311783,1.6134296620324198,1.0,4,50
42,202,1.7889388799667358,0.06055358797311783,1.6291347630581832,1.0,5,50
42,203,1.7889388799667358,0.06055358797311783,1.6265139363914307,1.0,6,50
42,204,1.7889388799667358,0.06055358797311783,1.62083533306,1.0,7,50
42,205,1.7889388799667358,0.06055358797311783,1.6082714413050154,1.0,8,50
42,206,1.7889388799667358,0.06055358797311783,1.6175398913776973,1.0,9,50
42,207,1.7889388799667358,0.06055358797311783,1.6079684364929765,1.0,10,50
42,208,1.7889388799667358,0.06055358797311783,1.6254905116308689,1.0,11,50
42,209,1.7889388799667358,0.06055358797311783,1.6422694330194427,1.0,12,50
42,210,1.7889388799667358,0.06055358797311783,1.627362437812412,1.0,13,50
42,211,1.7889388799667358,0.06055358797311783,1.6257983695884912,1.0,14,50
