arm,seed,gen,best_ppf,sigma,h_hist_pop,div,stag,n_al
A_baseline,42,233,1.7823076248168945,0.06448734551668167,1.522273799212359,1.0,10,50
A_baseline,42,234,1.7823076248168945,0.06448734551668167,1.5295689823487606,1.0,11,50
A_baseline,42,235,1.7823076248168945,0.06448734551668167,1.5189414800424983,1.0,12,50
A_baseline,42,236,1.7823076248168945,0.06448734551668167,1.5205392661233967,1.0,13,50
A_baseline,42,237,1.7823076248168945,0.06448734551668167,1.5209382154921929,1.0,14,50
A_baseline,42,238,1.7823076248168945,0.06448734551668167,1.5341816778945738,1.0,15,50
A_baseline,42,239,1.7823076248168945,0.06448734551668167,1.5070170457371679,1.0,16,50
A_baseline,42,240,1.7823076248168945,0.06448734551668167,1.5128470788553108,1.0,17,50
A_baseline,42,241,1.7823076248168945,0.06448734551668167,1.5014797796546588,1.0,18,50
A_baseline,42,242,1.7823076248168945,0.06448734551668167,1.4976566942465985,1.0,19,50
A_baseline,42,243,1.7823076248168945,0.06448734551668167,1.5233035965240924,1.0,0,50
A_baseline,42,244,1.7823076248168945,0.06448734551668167,1.5244569069744915,1.0,1,50
A_baseline,42,245,1.7823076248168945,0.06448734551668167,1.5088531173381916,1.0,2,50
A_baseline,42,246,1.7823076248168945,0.06448734551668167,1.5157809056441447,1.0,3,50
A_baseline,42,247,1.7823076248168945,0.06448734551668167,1.5008531968435679,1.0,4,50
A_baseline,42,248,1.7823076248168945,0.06448734551668167,1.4758616683666625,1.0,5,50
A_baseline,42,249,1.7823076248168945,0.06448734551668167,1.4778813012047336,1.0,6,50
A_baseline,42,250,1.7823076248168945,0.06448734551668167,1.4752230444266645,1.0,7,50
A_baseline,137,1,1.849734902381897,0.05800382047891617,1.7254533941325783,1.0,0,24
A_baseline,137,2,1.849734902381897,0.05800382047891617,1.7203000619773905,1.0,1,48
A_baseline,137,3,1.849734902381897,0.05800382047891617,1.6905238212476903,1.0,2,50
A_baseline,137,4,1.849734902381897,0.05800382047891617,1.7039368170497204,1.0,3,50
A_baseline,137,5,1.849734902381897,0.05800382047891617,1.6767068844047637,1.0,4,50
A_baseline,137,6,1.849734902381897,0.05800382047891617,1.688272577878384,1.0,5,50
A_baseline,137,7,1.797544240951538,0.05951550975441933,1.7044190270865234,1.0,0,50
A_baseline,137,8,1.797544240951538,0.05951550975441933,1.7146310126007458,1.0,1,50
A_baseline,137,9,1.797544240951538,0.05951550975441933,1.6935636088547308,1.0,2,50
A_baseline,137,10,1.797544240951538,0.05951550975441933,1.704164171773675,1.0,3,50
A_baseline,137,11,1.797544240951538,0.05951550975441933,1.7068672101706257,1.0,4,50
A_baseline,137,12,1.797544240951538,0.05951550975441933,1.6966055214987683,1.0,5,50
A_baseline,137,13,1.797544240951538,0.05951550975441933,1.7016774593914221,1.0,6,50
