seed,gen,best_ppf,best_cycle,best_fit,stag,H_mean,H_sens
42,216,1.5273414,310.55167,-1.5273414,64,0.1507706272167804,0.14071882351733875
42,217,1.5273414,310.55167,-1.5273414,65,0.12794255596070003,0.11585801167698469
42,218,1.5273414,310.55167,-1.5273414,66,0.14878152597862776,0.13388870708633976
42,219,1.5273414,310.55167,-1.5273414,67,0.1669518872109598,0.15869809244772606
42,220,1.5273414,310.55167,-1.5273414,68,0.14808143333592141,0.13782067343949936
42,221,1.5273414,310.55167,-1.5273414,69,0.1682194955610019,0.15298905969921664
42,222,1.5273414,310.55167,-1.5273414,70,0.13896650403328914,0.12679750143112378
42,223,1.5273414,310.55167,-1.5273414,71,0.12000169593108488,0.1216867770257877
42,224,1.5273414,310.55167,-1.5273414,72,0.14566359676004736,0.13474393838505555
42,225,1.5273414,310.55167,-1.5273414,73,0.13692406196362303,0.12435351746530866
42,226,1.5273414,310.55167,-1.5273414,74,0.14021054781168327,0.1256786494828741
42,227,1.5273414,310.55167,-1.5273414,75,0.14084783566541467,0.13343014188973765
42,228,1.5273414,310.55167,-1.5273414,76,0.10323473190541492,0.0981126009378286
42,229,1.5273414,310.55167,-1.5273414,77,0.14510020715613345,0.1335991100960306
42,230,1.5273414,310.55167,-1.5273414,78,0.15860332712027891,0.150480116198076
42,231,1.5273414,310.55167,-1.5273414,79,0.11912191127601013,0.1111239956767131
42,232,1.5273414,310.55167,-1.5273414,80,0.1387487949672616,0.13479612921401365
42,233,1.5273414,310.55167,-1.5273414,81,0.12018798038697638,0.10961476925238525
42,234,1.5273414,310.55167,-1.5273414,82,0.16012645777634482,0.15015410188473083
42,235,1.5273414,310.55167,-1.5273414,83,0.13858123155929475,0.13277704307696217
42,236,1.5273414,310.55167,-1.5273414,84,0.13204461698906814,0.12869705220299216
42,237,1.5273414,310.55167,-1.5273414,85,0.13115410568032257,0.1226745109601513
42,238,1.5273414,310.55167,-1.5273414,86,0.12429071297710678,0.12104309687612691
42,239,1.5273414,310.55167,-1.5273414,87,0.14806317707987748,0.14107518743200767
42,240,1.5273414,310.55167,-1.5273414,88,0.137170588345164,0.13136892530558128
42,241,1.5273414,310.55167,-1.5273414,89,0.13988785779443333,0.13174838592859658
42,242,1.5273414,310.55167,-1.5273414,90,0.14634099698697858,0.13413143490683474
42,243,1.5273414,310.55167,-1.5273414,91,0.1573968715387047,0.15018924911191905
42,244,1.5273414,310.55167,-1.5273414,92,0.1364333141521936,0.12737008359643268
42,245,1.5273414,310.55167,-1.5273414,93,0.13901793880752994,0.1383887367195629
42,246,1.5273414,310.55167,-1.5273414,94,0.1446617976981625,0.14243726861003914
42,247,1.5273414,310.55167,-1.5273414,95,0.1660575090465381,0.16153053082096594
42,248,1.5273414,310.55167,-1.5273414,96,0.15465189896016543,0.15001966022609628
42,249,1.5273414,310.55167,-1.5273414,97,0.12735126818150064,0.12260626710222063
137,0,1.8906295,335.80588,-1.8906295,0,1.7543633681420052,1.7594592398137276
137,1,1.8304068,336.44376,-1.8304068,0,1.6801617187751419,1.6773831899425078
137,2,1.8098307,325.07202,-1.8098307,0,1.5772268743258089,1.564227722720226
137,3,1.752232,315.43738,-1.752232,0,1.495723737309547,1.4835444156350417
137,4,1.7398388,333.28372,-1.7398388,0,1.4053108780888366,1.3997699956540115
137,5,1.7375944,317.82318,-1.7375944,0,1.289571329246019,1.2830189831367427
137,6,1.734166,324.79257,-1.734166,0,1.2562670762567405,1.2442434155459174
137,7,1.7217898,320.24738,-1.7217898,0,1.2129770383554654,1.201046381425241
137,8,1.7217898,320.24738,-1.7217898,1,1.1683792576708483,1.151237718152224
137,9,1.7053826,323.7231,-1.7053826,0,1.0683343312836793,1.0480965306402388
137,10,1.6854527,332.207,-1.6854527,0,0.9749623585583147,0.9517318879605506
137,11,1.6854527,332.207,-1.6854527,1,0.9552906305919984,0.9111395083791831
137,12,1.6854527,332.207,-1.6854527,2,0.9277467188459848,0.8720644393047473
137,13,1.6849437,331.77585,-1.6849437,0,0.8750562159743523,0.8274848720139847
137,14,1.6759968,330.81613,-1.6759968,0,0.8581587587970158,0.8098574686315612
