seed,gen,best_ppf,best_fit,sigma,h_sens_pop,div,stag,n_al_global
137,24,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6933756793581332,1.0,5,64
137,25,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6874787066857801,1.0,6,64
137,26,1.9831373691558838,341.4464111328125,0.07102782279253006,1.667875666468146,1.0,7,64
137,27,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6908084132514611,1.0,8,64
137,28,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6967704524670952,1.0,9,64
137,29,1.9831373691558838,341.4464111328125,0.07102782279253006,1.730073512969013,1.0,10,64
137,30,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7150331838882358,1.0,11,64
137,31,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7165353594704191,1.0,12,64
137,32,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7023932362006229,1.0,13,64
137,33,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7125919337878444,1.0,14,64
137,34,1.9831373691558838,341.4464111328125,0.07102782279253006,1.73198997783411,1.0,0,64
137,35,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7416987190509272,1.0,1,64
137,36,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7302519548789765,1.0,2,64
137,37,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7266325009817602,1.0,3,64
137,38,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6954192707126219,1.0,4,64
137,39,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7168660998841483,1.0,5,64
137,40,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6955227775489472,1.0,6,64
137,41,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6746279830569,1.0,7,64
137,42,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6636363443408082,1.0,8,64
137,43,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6590010050222805,1.0,9,64
137,44,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6464150489939786,1.0,10,64
137,45,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6564723896579536,1.0,11,64
137,46,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6834757820272204,1.0,12,64
137,47,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7181881965082828,1.0,13,64
137,48,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7099889098838879,1.0,14,64
