pattern,pred_ppf,sigma_ppf,h_gauss,h_hist,h_traj,h_combined,cycle,priority,entropy_mode
"[4, 1, 8, 4, 8, 2, 1, 1, 1, 8, 9, 1, 4, 2, 4, 1, 8, 7, 9, 9, 1, 1, 1, 1, 4, 5, 1, 1, 5, 1, 1]",2.008787155151367,0.08169147372245789,-1.085867166519165,1.5426719188690186,-163.73519897460938,3.0593440532684326,321.22039794921875,489.2122206785967,combined
"[8, 1, 8, 4, 3, 4, 1, 7, 1, 3, 3, 1, 7, 2, 2, 1, 4, 7, 2, 9, 3, 1, 1, 1, 1, 2, 1, 8, 2, 1, 1]",1.9492186307907104,0.09152064472436905,-0.9722521901130676,1.6170531511306763,-164.8907470703125,3.0244996547698975,314.45355224609375,487.92072744705246,combined
"[7, 1, 4, 4, 8, 3, 1, 1, 1, 8, 7, 1, 4, 2, 2, 1, 8, 9, 7, 9, 1, 1, 1, 1, 4, 5, 1, 1, 5, 1, 1]",1.9861135482788086,0.09259510040283203,-0.9605804085731506,1.5802363157272339,-164.86111450195312,2.977414131164551,322.76129150390625,483.8562967828118,combined
"[8, 1, 8, 4, 9, 4, 1, 1, 1, 3, 7, 1, 4, 6, 2, 1, 9, 7, 6, 2, 3, 1, 1, 1, 5, 2, 1, 3, 2, 1, 1]",1.8541333675384521,0.08534441143274307,-1.0421216487884521,1.4313105344772339,-163.0968475341797,2.686638593673706,328.9479675292969,476.64523151470365,combined
"[8, 1, 9, 4, 8, 1, 1, 5, 1, 8, 7, 1, 4, 6, 6, 1, 3, 7, 6, 6, 1, 1, 1, 1, 2, 6, 1, 8, 2, 1, 1]",1.8977773189544678,0.08300960063934326,-1.0698604583740234,1.4284062385559082,-161.736572265625,2.817979097366333,318.6348571777344,473.1355386723149,combined
"[9, 1, 8, 4, 3, 4, 1, 6, 1, 8, 7, 1, 4, 2, 2, 1, 3, 7, 6, 2, 8, 1, 1, 1, 4, 6, 1, 8, 1, 1, 1]",1.9236388206481934,0.08884923905134201,-1.0018759965896606,1.5040165185928345,-163.59071350097656,2.850510597229004,317.1614685058594,469.9799397498578,combined
"[1, 1, 8, 4, 7, 8, 1, 1, 1, 3, 7, 1, 9, 6, 2, 1, 8, 4, 2, 9, 8, 1, 1, 1, 1, 9, 1, 1, 2, 1, 1]",1.9963634014129639,0.07975437492132187,-1.109865427017212,1.4097228050231934,-160.2530517578125,2.9354982376098633,317.21173095703125,466.4351240256956,combined
"[9, 1, 9, 4, 9, 4, 1, 1, 1, 8, 7, 1, 9, 6, 2, 1, 4, 7, 8, 7, 1, 1, 1, 1, 4, 3, 1, 8, 2, 1, 1]",1.9855144023895264,0.0761132761836052,-1.156593918800354,1.4830384254455566,-163.0273895263672,2.7732720375061035,333.761962890625,466.182593070678,combined
"[4, 1, 3, 4, 3, 4, 1, 1, 1, 8, 7, 1, 8, 2, 2, 1, 9, 7, 5, 9, 5, 1, 1, 1, 1, 3, 1, 8, 5, 1, 1]",1.948974847793579,0.07382544875144958,-1.1871135234832764,1.4597402811050415,-162.93431091308594,2.695812225341797,333.9140319824219,461.8679757629936,combined
"[4, 1, 8, 4, 8, 9, 1, 1, 1, 8, 7, 1, 4, 2, 2, 1, 4, 7, 7, 5, 2, 1, 1, 1, 4, 9, 1, 8, 2, 1, 1]",1.951369047164917,0.07907106727361679,-1.1184695959091187,1.4533668756484985,-163.5771484375,2.753241539001465,327.2539367675781,461.7315582040947,combined
