seed,gen,ppf_pred,sigma,h_sens_pop,sens_novelty,composite,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
7,2,4.75159215927124,0.1328202039003372,1.7187458598812662,33.25619888305664,2.022146701812744,1,5,1,1,1,3,4,1,7,1,9,5,4,4,6,3,1,3,4,1,1,4,1,3,6,5,1,7,3,1,2
42,3,2.6981916427612305,0.1300592124462127,1.7131195717209058,31.18538856506348,2.0127315521240234,5,1,1,4,1,4,5,8,7,4,3,1,4,1,1,1,4,1,1,4,1,1,1,6,1,5,6,7,4,4,1
1618,1,3.545062065124512,0.1276798844337463,1.755330173318954,35.414207458496094,2.0112955570220947,2,1,1,9,1,3,1,3,6,8,3,4,8,1,4,1,6,4,1,5,4,1,4,3,1,1,8,1,6,5,1
314,3,3.396059513092041,0.1233675330877304,1.7301316381340597,35.35781478881836,1.9935779571533203,1,5,4,4,1,3,1,3,1,1,7,1,2,4,1,9,3,1,1,3,5,1,7,6,6,5,1,2,6,1,3
1618,2,3.176229238510132,0.1031506434082984,1.7264585244319757,39.78499603271485,1.981105089187622,1,2,4,5,4,4,4,2,5,9,3,5,6,1,9,3,7,4,3,5,5,1,6,6,5,5,1,5,1,1,3
509,3,4.388105869293213,0.1191371008753776,1.689006754425455,31.695402145385746,1.9698213338851929,4,5,4,1,1,1,4,1,5,1,4,3,4,5,1,3,1,8,4,5,9,1,6,1,3,4,1,4,6,1,1
7,1,4.646261692047119,0.1539183855056762,1.7442575164428895,31.44074249267578,1.9618892669677732,1,5,1,7,4,1,3,1,1,1,3,1,4,3,5,6,3,1,1,5,1,4,1,8,3,6,4,1,3,9,1
42,1,3.8661763668060303,0.1215554699301719,1.7290576565932338,33.48477554321289,1.9605833292007449,5,1,6,5,4,6,1,1,7,1,9,3,1,1,4,5,3,1,3,1,3,8,5,4,4,1,1,1,1,5,2
7,1,4.7720794677734375,0.1421102434396743,1.7442575164428895,33.151023864746094,1.9443042278289795,3,1,2,4,1,1,1,3,5,5,4,4,1,7,4,5,1,4,6,1,1,1,4,8,5,5,1,1,2,6,1
137,2,3.640170097351074,0.1173468828201294,1.718798034992829,36.61189651489258,1.9092979431152344,6,5,5,5,6,1,1,1,4,3,1,5,6,3,6,3,3,3,1,2,1,7,4,1,1,8,4,7,3,1,1
88,1,3.558420181274414,0.141311228275299,1.7247864634711405,32.581634521484375,1.9032022953033447,3,5,5,9,1,2,4,1,1,1,4,1,3,1,3,4,1,3,1,2,7,5,1,5,6,4,6,1,1,1,5
7,1,4.153571605682373,0.1317682117223739,1.7442575164428895,34.50054931640625,1.8997647762298584,6,5,5,6,5,5,1,1,8,1,3,4,1,9,1,1,1,5,7,5,1,1,2,6,1,3,4,1,4,1,4
